LongDiscipline,Discipline,SubDiscipline,Title,r-e,CourseDescription,Credits,Trimester,Term,Grade Level,Prerequisites,Modality
Electives- Communications & Media,8,Communications & Media,From the Mississippi Delta to the Streets: American Popular Music and Culture,e,"Early in the 20th century, theÿbluesÿwas developing in the southern United States, and that raw sound eventually became rock & roll of the 1950's. Many of the original blues conventions are still heavily used today. Study in this course examines the cultural influences that created early American music, and how music and culture continue to interact today. Study is focused on major musical genres and artists who have had a profound impact on the American experience, as well as important local and world events that shaped the course of musical history. Exploration is framed by reading about and listening to important recordings from the 20th and 21st centuries, in addition to a written critique of a live performance, a biographical essay, and a formal research paper.",1,1,T,11-12,,
Electives- Communications & Media,8,Communications & Media,Media Literacy: Finding the Message in the Medium,e,"Media images and messages influence much of our thinking and acting in the contemporary world. Study in this course examines the structure of the media industry and a variety of media sources including: news, music, internet, art, entertainment, and advertising content. Exploration is framed by a course-long project where students construct their own media conglomerates based on real world models. Journalistic articles, ad campaigns, podcasts and internet content are created to facilitate the construction and deconstruction of the media messages that surround us. Questions like,ÿWhat does it mean to grow up online?,ÿintroduce a growing branch of internet media studies and help to develop critical thinking habits.",1,1,T,9-12,,
Electives- Communications & Media,8,Communications & Media,Conversation Through Cinema,e,"This course introduces students to Spanish and Latin American film. Film provides opportunity for in-depth exploration of realities as well as contextualized settings for the stories they present, and it is in these contexts that most culture-focused information is revealed. Students analyze, critique, and engage in discussions about the films they watch. Emphasis is placed on further developing listening and speaking skills. Reading and writing, and a study of some formal aspects of the language also are addressed. Areas of study include but are not limited to: globalization, history, immigration and exile, a geographical regions. A final project designed by the students provides a capstone to the course. The class is conducted in Spanish.",1,1,T,10-12,Spanish 3,
Electives- Technology,10,Technology,Programming 1,e,"This course introduces programming concepts and algorithms. The constructs that exist in all programming languages, starting with the Scratch Programming Environment and moving towards more traditional programming with Ruby, are the focal areas. This course is designed for both novice and beginning programmers and consists primarily of short lectures and labs which culminate in projects.",1,1,T,9-12,,
Electives- Technology,10,Technology,Programming 2,e,"Building off of the concepts learned in Introduction to Computer Programming, students continue to learn techniques of object oriented programming. The content of the course is taught in Ruby, with students free to pursue individual projects in any object-oriented language. Concepts include: object inheritance, modules, and testing. Final projects are done individually or in small groups and culminate in fully functional programs that range from statistical analyses to games.",1,1,T,9-12,,
Electives- Technology,10,Technology,Physical Meets Digital,e,"For the majority of history, people of our culture manipulated only physical objects. In the last fifty years, people have developed the ability to manipulate digital objects as well. The boundary between physical and digital creation has started to blur. This course exists at the interface between physical and virtual. Students design objects on computers and create them using 3D printers and Laser Cutters. In addition, coursework involves taking physical inputs into micro-controllers and processing them with software by building digital sensors or personal USB devices. This course is focused on empowering students to bring ideas to life using all the modern tools at our disposal.",1,1,T,9-12,,
Electives- Technology,10,Technology,Web Design 1: From the Ground Up,e,"The internet and the world wide web in particular are fulfilling a greater role in society. Through writing web pages, students are introduced to the underlying structure of the internet. The course provides instruction and practice on web page construction, employment of HTML, Cascading Style Sheets and JavaScript. This course is designed for both novice and experienced web designers and consists primarily of short lectures and labs culminating in each student building a personal web site.",1,1,T,9-12,,
Electives- Technology,10,Technology,Web Design 2,e,"Building off of the concepts learning in Web Design, students continue their pursuit of higher level topics including techniques to reduce content duplication across pages, javascript (primarily using the jQuery library) and an introduction to web scripting (typically using PHP or rails). This course is primarily focused on mid-term and final projects which students work on individually or in groups. The projects are aimed at building web sites with consistent design elements and a quality user experience.",1,1,T,9-12,,
Electives- Economics & Entreprenuership,8,Economics & Entreprenuership,Business and Commerce: From Start-Up to Bottom Line,e,"From world economic policy to the corner convenience store, the principles of business and commerce permeate our everyday lives. This course is designed to transition students from the theoretical setting of the classroom to the very practical and real life challenges they may face in the business world. Students investigate business theory and actually do business and entrepreneurship. Topics addressed are: banking, finance, the stock market, business regulation, taxation. A simulated stock market exercise is engaged throughout the term, where students actively trade a hypothetical $10,000, track stock changes, and compete for the highest gains in portfolio value. Focus is placed on the process of starting a business: defining a product/service, evaluating market need, constructing ?go to market? plan, and doing an ?ask? of investors. The culminating experience has students pitching business ideas in front of actual angel investors. This course is intended to build from the core skills and ideas in EPS Mathematics, Economics and Social Science courses.",1,1,T,10-12,Upper School Head Approval for 10th graders,
Electives- Economics & Entreprenuership,8,Economics & Entreprenuership,"Evolution of Society Media, Technology, Economy",e,"As technology and ideas progress, our society evolves to take advantage of new media and rapidly changing economic and technological landscapes. This course briefly explores history from the Big Bang Theory to the shifting media and economics paradigms of the last 20 years--from a point where the creation and distribution of media was a tightly controlled expensive endeavor, to our current system where anyone can create a blog, YouTube video, podcast or web page for little or no cost. The central pursuit of this course is an investigation of the economies of scale and advances in technology that now make it good business to give away services for free (projects like Wikipedia and TED Talks were laughable 10 years ago). Term long projects focus on our contemporary media, economic, and technological landscapes, and envisioning and creating the direction ? or possible directions ? that our society will evolve.",1,1,T,10-12,,
Electives- Economics & Entreprenuership,8,Economics & Entreprenuership,Undercover Economics: Thinking at the Margin,e,"Rather than looking at economics as a ?dismal science? of static cost-benefit analysis, this course uses economic thinking to investigate a myriad of interesting and unconventional questions, and to uncover economic logic in the everyday world. Economic thinking is modeled by asking and answering questions such as,ÿWhat do schoolteachers and sumo wrestlers have in common?, Do first names determine economic success?,ÿandÿWho pays for your coffee?ÿAdditional attention is dedicated to exploring everyday economic questions that many Americans are unable to answer such as,ÿWhat does it mean when the Fed raises rates?, How do mortgages and student loans work?, What are inflation and deflation?, How does the stock market work?,ÿandÿIs recycling an economically efficient practice?",1,1,T,9-12,,
Electives- Economics & Entreprenuership,8,Economics & Entreprenuership,Economics and the Environment: Green and Green? ,e,"Economic pursuits and environmental advocacy often are viewed as mutually exclusive practices. Exploration in this course works to marry these realms by building on core concepts of microeconomics, investigating the economic roots of environmental issues, and hypothesizing as to how capitalistic markets can be used to tackle modern environmental issues such as: climate change, pollution, and endangered species. Economic and environmental understandings are combined with personal interests to invent and design individual green business plans at the conclusion of the course.",1,1,T,9-12,,
Electives- Place-Based Studies,8,Place-Based Studies,Contemporary South African Literature and Film,e,"How does a country come together, forgive, and move forward after 50 years devoted to a system designed to keep races and classes apart?ÿThrough modern South African literature and film, students examine the complexities of the issues facing South Africa from the end of apartheid (1994) to today--racial inequities, xenophobia, class polarization, urbanization, and the tension between traditional African values and the birth of a new society. Texts for the course includeÿSmell of Applesÿby Mark Behr,ÿDisgraceÿby J. M. Coetzee,ÿCoconutÿby Kopano Matlwa,ÿJewels and Other Storiesÿby Dawn Promislow, andÿA Human Being Died that Night: A South African Woman Confronts the Legacy of Apartheidÿby Pumla Gobodo-Madikizela.",1,1,T,11-12,,
Electives- Place-Based Studies,8,Place-Based Studies,Topics in Urban Planning and Community Design,e,"As human populations have expanded in modern times so has their need for well-designed communities and urban spaces. Study in this course focuses on conceptual understandings in the areas of sustainable urban design, architecture, and community planning through the examination of national/local issues and projects. Local issues examined include: the King County-Kirkland TOD Project (across the street from EPS), the Seattle viaduct debate, the SR-520 Bridge Project, the Save Our Valley v. Sound Transit lawsuit, green building, the use of LEED Standards in the Seattle area, architectural day-lighting, and urban greening. Activities focus on public meetings and role plays of different stakeholders and/or leaders for the purpose of considering the impacts of planning and design decisions on individuals and communities.",1,1,T,9-12,,
Electives- Place-Based Studies,8,Place-Based Studies,Spanish Literature: The Short Novel,e,"This course provides the opportunity to analyze one literary text (a short novel) in detail. The text is selected by the current instructor. Small sections are read and discussed in class. Activities include: answering comprehension questions, keeping a reading journal, small group and class discussions, and analysis of secondary sources (articles, film, etc.). Special attention is placed on conversational skills used in discussion of the text. The class is conducted in Spanish.",1,1,T,10-12,Spanish 3,
Electives- Place-Based Studies,8,Place-Based Studies,From Skid Road to Starbucks: The Rise  of the Emerald City,e,"In this place-based course, students explore the area in which they live through historical study, field experiences, and civic participation. The first phase of the course includes an intensive study of local literature and historical texts to establish a baseline for understanding the history and composition of the Seattle Metropolitan area. The second phase of the course requires students to conduct an independent research project where they self-select and investigate an aspect of local history as a means to better understanding the region in which they live. Finally, students involve themselves in their local community by conducting an individual or group civic project. Example project pursuits might include proposing solutions to modern challenges of the region (i.e. environmental issues, education, infrastructure), volunteering at MOHAI, or developing an exhibit. A key component of the course is three required Saturdays of place-based study in Downtown Seattle, the Snoqualmie Valley area, and the University of Washington.",1,1,T,10-12,,
Electives- Mathematics: Number Theory,8,Mathematics: Number Theory,Number Contemplation and Infinity (Math Beyond Numbers),e,"Coursework investigates numerical patterns in nature, the significance of prime numbers, the mathematics of error correcting codes such as those in bar codes and methods of encryption. This course then delves deeper into irrational and real numbers finishing with an in-depth look at the concept of infinity and determining whether there are different sizes of infinities.ÿ",1,1,T,10-12,Algebra 2 or Discipline Faculty Approval ,
Electives- Mathematics: Number Theory,8,Mathematics: Number Theory,Geometric Gems and Contortions of Space (Math Beyond Numbers),e,"Coursework investigates the relationship of geometry to nature, architecture and aesthetics through the golden rectangle, Fibonacci series, and the platonic solids. Explorations of the fourth dimension and topics in topology, such as rubber sheets, knots and mobius strips, complete the course.",1,1,T,10-12,Algebra 2 or Discipline Faculty Approval ,
Electives- Writer's Workshop,8,Writer's Workshop,Creative Writing,e,"Students write fiction, creative nonfiction and poetry. Students read and respond to both published writers? and each other?s work. This course greatly strengthens aspects of each student?s writing such as narrative structure, sentence fluency, and clarity of expression.",1,1,T,9-12,,
Electives- Writer's Workshop,8,Writer's Workshop,Advanced Creative Writing: Fiction and Poetry,e,"Building on the skills taught in creative writing, students perform high-level analysis of poems and short stories, explore complex poetic forms, and practice genre-specific techniques in writing their own creative works.",1,1,T,9-12,Creative Writing,
Electives- Writer's Workshop,8,Writer's Workshop,Advanced Creative Writing: Genre Study,e,"Building on the skills learned in Creative Writing, students in this course will engage in the exploration of a particular genre, such as science fiction/fantasy, graphic novels/cartoons, or playwriting/screenwriting. This class offers an in-depth exploration of topics within the larger field of creative writing via both reading and producing work in a particular genre. The class will run on a workshop model, which requires students? investment in sharing their work with others, critiquing others? work, and keeping on track with their writing process. Students will produce one large piece in the genre being studied, or a portfolio of shorter pieces.",1,1,T,9-12,Creative Writing,
Electives- Program for Upperclassmen,8,Program for Upperclassmen,Independent Study (All Terms),e,"One of the most exciting and challenging options offered to EPS students, independent studies provide seniors the opportunity to extend their academic exploration into topics that are not currently covered in the EPS course offerings. These efforts also give students practice working one-on-one with faculty members, similar to collaboration that will be expected by many of their professors in the college setting. Interested students identify a topic or subject area that they would like to examine; find a faculty mentor to work with; and construct a ten-week curriculum including weekly meetings with a faculty mentor. A text of appropriate complexity is required for all independent studies. Independent studies are a hallmark of EPS's most engaged and self-motivated students. Both initial proposal and final presentations are heard by the EPS Curriculum Committee. ",1,1,T,12,,
Electives- Program for Upperclassmen: EPS Seminars,8,Program for Upperclassmen: EPS Seminars,Fall Seminar A: What is Happiness? ,e,Students explore a broad range of definitions of happiness. What does it feel like? How does one attain it? Is it episodic or permanent? Is it a state of mind or a physiological condition?,0.5,0.5,0.5 T,11-12,,
Electives- Program for Upperclassmen: EPS Seminars,8,Program for Upperclassmen: EPS Seminars,Fall Seminar B: Should Public Policy Aim to Produce Happiness?,e,"Students employ the many definitions of happiness in an effort to discern the degree to which it should be the objective of legislators, leaders, and citizens to design public policy for the purpose of securing happiness.",0.5,0.5,0.5 T,11-12,,
Electives- Program for Upperclassmen: EPS Seminars,8,Program for Upperclassmen: EPS Seminars,Spring Seminar A: Senior Project,R,"Seniors construct and publicly present individual projects reflective of both their personal passions and previous learning at EPS. Work during the fall and winter trimesters takes place during students? independent time, with support and instruction given in the context of senior advisories. Specifically, during the fall trimester, initial planning takes place with proposals made in front of peers and US faculty. In the winter trimester, extensive independent work (both on-campus and off-campus) outside of the EPS daily schedule is expected. Students also meet regularly with a faculty mentor. Project work culminates in the spring trimester with a 5-week seminar and continued meetings with mentors as students prepare for public presentations.ÿStudents may:ÿ1) extend work from past/current EPS Upper School classes or independent studies;ÿ2) explore new inter-disciplinary topics;ÿ3) construct products in the fine and performing arts, creative writing, or technological development;ÿ4) pursue service-learning opportunities;ÿ5) participate in internships with professional organizations;ÿ6) Combine academic pursuits with travel opportunities.ÿ",0.5,0.5,0.5 T,12,,
Electives- Program for Upperclassmen: EPS Seminars,8,Program for Upperclassmen: EPS Seminars,Spring Seminar B: Thinking About Nature,e,"Engaging in a rich, interdisciplinary perspective that is becoming increasingly vital in our world, students participate in a dynamic conversation between the humanities and environmental studies disciplines. Coursework examines the interactions of individuals, cultures, and nature through texts by contemporary and historical thinkers and writers, such as Leopold, Pinchot and Dillard. A one-week trip to the southwestern United States immerses students in these ideas, teaches wilderness and outdoor skills, and provides opportunity for students to consider the environment and their relationship to it. A willingness and excitement to fully engage in this off-campus wilderness week, and intensive reading and writing in the fields of creative non-fiction, philosophy, environmental studies, and literature is expected.ÿ*Students enrolled in this course are committed to travel with their instructors and classmates during EBC week during the spring trimester.",0.5,0.5,0.5 T,12,,
